identifier	name	definition	synonyms	alts	parents	species
GPL-2.0-with-font-exception	GNU General Public License v2.0 w/Font exception				spdx.term:ListedLicense	
GPL-3.0	GNU General Public License v3.0 only				spdx.term:ListedLicense	
GPL-3.0+	GNU General Public License v3.0 or later				spdx.term:ListedLicense	
GPL-3.0-only	GNU General Public License v3.0 only				spdx.term:ListedLicense	
GPL-3.0-or-later	GNU General Public License v3.0 or later				spdx.term:ListedLicense	
GPL-3.0-with-GCC-exception	GNU General Public License v3.0 w/GCC Runtime Library exception				spdx.term:ListedLicense	
GPL-3.0-with-autoconf-exception	GNU General Public License v3.0 w/Autoconf exception				spdx.term:ListedLicense	
Game-Programming-Gems	Game Programming Gems License				spdx.term:ListedLicense	
Giftware	Giftware License				spdx.term:ListedLicense	
Glide	3dfx Glide License				spdx.term:ListedLicense	
Glulxe	Glulxe License				spdx.term:ListedLicense	
Graphics-Gems	Graphics Gems License				spdx.term:ListedLicense	
Gutmann	Gutmann License				spdx.term:ListedLicense	
HDF5	HDF5 License				spdx.term:ListedLicense	
HIDAPI	HIDAPI License				spdx.term:ListedLicense	
HP-1986	Hewlett-Packard 1986 License				spdx.term:ListedLicense	
HP-1989	Hewlett-Packard 1989 License				spdx.term:ListedLicense	
HPND	Historical Permission Notice and Disclaimer				spdx.term:ListedLicense	
HPND-DEC	Historical Permission Notice and Disclaimer - DEC variant				spdx.term:ListedLicense	
HPND-Fenneberg-Livingston	Historical Permission Notice and Disclaimer - Fenneberg-Livingston variant				spdx.term:ListedLicense	
HPND-INRIA-IMAG	Historical Permission Notice and Disclaimer    - INRIA-IMAG variant				spdx.term:ListedLicense	
HPND-Intel	Historical Permission Notice and Disclaimer - Intel variant				spdx.term:ListedLicense	
HPND-Kevlin-Henney	Historical Permission Notice and Disclaimer - Kevlin Henney variant				spdx.term:ListedLicense	
HPND-MIT-disclaimer	Historical Permission Notice and Disclaimer with MIT disclaimer				spdx.term:ListedLicense	
HPND-Markus-Kuhn	Historical Permission Notice and Disclaimer - Markus Kuhn variant				spdx.term:ListedLicense	
HPND-Netrek	Historical Permission Notice and Disclaimer - Netrek variant				spdx.term:ListedLicense	
HPND-Pbmplus	Historical Permission Notice and Disclaimer - Pbmplus variant				spdx.term:ListedLicense	
HPND-UC	Historical Permission Notice and Disclaimer - University of California variant				spdx.term:ListedLicense	
HPND-UC-export-US	Historical Permission Notice and Disclaimer - University of California, US export warning				spdx.term:ListedLicense	
HPND-doc	Historical Permission Notice and Disclaimer - documentation variant				spdx.term:ListedLicense	
HPND-doc-sell	Historical Permission Notice and Disclaimer - documentation sell variant				spdx.term:ListedLicense	
HPND-export-US	HPND with US Government export control warning				spdx.term:ListedLicense	
HPND-export-US-acknowledgement	HPND with US Government export control warning and acknowledgment				spdx.term:ListedLicense	
HPND-export-US-modify	HPND with US Government export control warning and modification rqmt				spdx.term:ListedLicense	
HPND-export2-US	HPND with US Government export control and 2 disclaimers				spdx.term:ListedLicense	
HPND-merchantability-variant	Historical Permission Notice and Disclaimer - merchantability variant				spdx.term:ListedLicense	
HPND-sell-MIT-disclaimer-xserver	Historical Permission Notice and Disclaimer - sell xserver variant with MIT disclaimer				spdx.term:ListedLicense	
HPND-sell-regexpr	Historical Permission Notice and Disclaimer - sell regexpr variant				spdx.term:ListedLicense	
HPND-sell-variant	Historical Permission Notice and Disclaimer - sell variant				spdx.term:ListedLicense	
HPND-sell-variant-MIT-disclaimer	HPND sell variant with MIT disclaimer				spdx.term:ListedLicense	
HPND-sell-variant-MIT-disclaimer-rev	HPND sell variant with MIT disclaimer - reverse				spdx.term:ListedLicense	
HTMLTIDY	HTML Tidy License				spdx.term:ListedLicense	
HaskellReport	Haskell Language Report License				spdx.term:ListedLicense	
Hippocratic-2.1	Hippocratic License 2.1				spdx.term:ListedLicense	
IBM-pibs	IBM PowerPC Initialization and Boot Software				spdx.term:ListedLicense	
ICU	ICU License				spdx.term:ListedLicense	
IEC-Code-Components-EULA	IEC    Code Components End-user licence agreement				spdx.term:ListedLicense	
IJG	Independent JPEG Group License				spdx.term:ListedLicense	
IJG-short	Independent JPEG Group License - short				spdx.term:ListedLicense	
